"site_name","subsite","year","treatment","plot","plant_id","prior_visit","doy"
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","AR1",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","AR2",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","AR3",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","AR4",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","AR5",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","BB1",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","BB2",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","BB3",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","BB4",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","101E","BB5",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","AR1",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","AR2",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","AR3",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","AR4",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","AR5",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","BB1",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","BB2",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","BB3",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","BB4",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP","101C","BB5",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","AR1",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","AR2",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","AR3",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","AR4",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","AR5",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","BB1",NA,NA
"NIWOT","NIWOT.SADSNFC.MW",1993,"SNOWFENCE_DEEP_OTC","102E","BB2",NA,NA
