"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_0_1_OTC_DRYOCT",1995,"OTC",1,"FIRST_LEAF_EVIDENT",143,145
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_0_1_OTC_VACVIT",1995,"OTC",1,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_0_2_OTC_DRYOCT",1995,"OTC",2,"FIRST_LEAF_EVIDENT",143,145
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_0_2_OTC_VACVIT",1995,"OTC",2,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_0_3_CTL_DRYOCT",1995,"CTL",3,"FIRST_LEAF_EVIDENT",143,145
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_0_3_CTL_VACVIT",1995,"CTL",3,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_0_6_OTC_DRYOCT",1995,"OTC",6,"FIRST_LEAF_EVIDENT",143,145
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_0_6_OTC_VACVIT",1995,"OTC",6,"FIRST_LEAF_EVIDENT",159,163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_0_8_CTL_DRYOCT",1995,"CTL",8,"FIRST_LEAF_EVIDENT",143,145
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_0_8_CTL_VACVIT",1995,"CTL",8,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_0_9_CTL_DRYOCT",1995,"CTL",9,"FIRST_LEAF_EVIDENT",143,145
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_0_9_CTL_VACVIT",1995,"CTL",9,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_1_17_OTC_DRYOCT",1995,"SNOWFENCE_DEEP_OTC",17,"FIRST_LEAF_EVIDENT",156,159
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_1_17_OTC_VACVIT",1995,"SNOWFENCE_DEEP_OTC",17,"FIRST_LEAF_EVIDENT",178,181
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_1_19_CTL_DRYOCT",1995,"SNOWFENCE_DEEP",19,"FIRST_LEAF_EVIDENT",159,163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_1_19_CTL_VACVIT",1995,"SNOWFENCE_DEEP",19,"FIRST_LEAF_EVIDENT",166,170
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_1_21_CTL_DRYOCT",1995,"SNOWFENCE_DEEP",21,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_1_21_CTL_VACVIT",1995,"SNOWFENCE_DEEP",21,"FIRST_LEAF_EVIDENT",178,181
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_1_23_OTC_DRYOCT",1995,"SNOWFENCE_DEEP_OTC",23,"FIRST_LEAF_EVIDENT",163,166
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_1_23_OTC_VACVIT",1995,"SNOWFENCE_DEEP_OTC",23,"FIRST_LEAF_EVIDENT",181,184
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","DRYOCT","DRY_1_26_OTC_DRYOCT",1995,"SNOWFENCE_DEEP_OTC",26,"FIRST_LEAF_EVIDENT",159,163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW","VACVIT","DRY_1_26_OTC_VACVIT",1995,"SNOWFENCE_DEEP_OTC",26,"FIRST_LEAF_EVIDENT",170,174
