"site_name","subsite","year","treatment","plot","prior_visit","plant_id","doy"
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"OTC",1,NA,"DRY_0_1_OTC_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"OTC",1,NA,"DRY_0_1_OTC_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"OTC",2,NA,"DRY_0_2_OTC_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"OTC",2,NA,"DRY_0_2_OTC_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"CTL",3,NA,"DRY_0_3_CTL_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"CTL",3,NA,"DRY_0_3_CTL_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"OTC",6,NA,"DRY_0_6_OTC_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"OTC",6,NA,"DRY_0_6_OTC_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"CTL",8,NA,"DRY_0_8_CTL_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"CTL",8,NA,"DRY_0_8_CTL_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"CTL",9,NA,"DRY_0_9_CTL_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"CTL",9,NA,"DRY_0_9_CTL_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",17,156,"DRY_1_17_OTC_DRYOCT",159
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",17,156,"DRY_1_17_OTC_VACVIT",159
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",19,153,"DRY_1_19_CTL_DRYOCT",156
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",19,153,"DRY_1_19_CTL_VACVIT",156
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",21,159,"DRY_1_21_CTL_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",21,159,"DRY_1_21_CTL_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",23,159,"DRY_1_23_OTC_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",23,159,"DRY_1_23_OTC_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",26,156,"DRY_1_26_OTC_DRYOCT",159
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",26,156,"DRY_1_26_OTC_VACVIT",159
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",31,153,"DRY_1_31_CTL_DRYOCT",156
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",31,153,"DRY_1_31_CTL_VACVIT",156
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",33,159,"DRY_2_33_OTC_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",33,159,"DRY_2_33_OTC_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",34,159,"DRY_2_34_CTL_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",34,159,"DRY_2_34_CTL_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",35,159,"DRY_2_35_OTC_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",35,159,"DRY_2_35_OTC_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",36,159,"DRY_2_36_OTC_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",36,159,"DRY_2_36_OTC_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",37,159,"DRY_2_37_CTL_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",37,159,"DRY_2_37_CTL_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",38,159,"DRY_2_38_CTL_DRYOCT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",38,159,"DRY_2_38_CTL_VACVIT",163
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",39,NA,"DRY_3_39_CTL_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",39,NA,"DRY_3_39_CTL_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",40,NA,"DRY_3_40_CTL_DRYOCT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",40,NA,"DRY_3_40_CTL_VACVIT",142
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",44,145,"DRY_3_44_CTL_DRYOCT",150
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP",44,145,"DRY_3_44_CTL_VACVIT",150
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",45,145,"DRY_3_45_OTC_DRYOCT",150
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",45,145,"DRY_3_45_OTC_VACVIT",150
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",50,153,"DRY_3_50_OTC_DRYOCT",156
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",50,153,"DRY_3_50_OTC_VACVIT",156
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",51,150,"DRY_3_51_OTC_DRYOCT",153
"TOOLIK","TOOLIK.USTOOLIKDRY.JW",1995,"SNOWFENCE_DEEP_OTC",51,150,"DRY_3_51_OTC_VACVIT",153
