DATA SET TITLE=Toolik Snowfence Experiment: 1995-2001 Plant phenology 																		
"PI/DATA CONTACT=Marilyn Walker (University of Alaska, USFS/PNW)"																		
DATA COVERAGE=START: 1995; STOP: 2001																		
"LOCATION=Toolik Field Station (68.62710 N, 149.59322 W)"																		
"DATA VERSION=4.0 (17 January, 2003), PRELIMINARY"																		
REMARKS=Part of the International Tundra Experiment Network (ITEX)																		
"REMARKS=Missing data and empty cells=""-9999""; Aborted=""AAA"""																		
REMARKS=See associated species file (USTOOLIK_specieslist.txt) for species code definitions																		

SITE	YEAR	LOCATION	ZONE	PLOT	TREATMENT	SUPPLEMENT	SPECIES_CODE	FIRST_SNOWFREE_DAY 	FIRST_LEAF_EVIDENT 	FIRST_FLOWER_BUD 	FIRST_FLOWER_OPEN 	FIRST_PETAL_DROP 	LAST_PETAL_DROP 	FIRST_SEED_DISPERSAL 	SECOND_SEED_DISPERSAL 	FIRST_COLOR_CHANGE 	LAST_COLOR_CHANGE 	FIRST_LEAF_DROP 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
USTOOLIK	1995	DRY	0	1	OTC	-9999	DRYOCT	142	145	163	166	170	174	212	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	1	OTC	-9999	VACVIT	142	166	174	174	188	198	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	2	OTC	-9999	DRYOCT	142	145	156	159	163	170	205	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	2	OTC	-9999	VACVIT	142	166	170	174	188	188	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	3	CTL	-9999	DRYOCT	142	145	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	3	CTL	-9999	VACVIT	142	166	166	174	188	195	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	6	OTC	-9999	DRYOCT	142	145	159	163	166	170	205	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	6	OTC	-9999	VACVIT	142	163	166	174	188	188	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	8	CTL	-9999	DRYOCT	142	145	163	166	174	184	204	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	8	CTL	-9999	VACVIT	142	166	166	174	188	195	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	9	CTL	-9999	DRYOCT	142	145	156	159	163	163	AAA	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	0	9	CTL	-9999	VACVIT	142	166	166	174	188	191	-9999	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	1	17	OTC	-9999	DRYOCT	159	159	174	181	184	188	212	-9999	-9999	-9999	-9999
USTOOLIK	1995	DRY	1	17	OTC	-9999	VACVIT	159	181	184	191	198	205	-9999	-9999	-9999	-9999	-9999
