"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","PEDVER","flower",6,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","PEDVER","flowerend",6,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","PEDVER","green",6,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","POLVIV","flower",6,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","POLVIV","green",6,6
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SALRET","flower",9,4
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SALRET","flowerend",9,5
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SALRET","green",9,9
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SALRETI","flower",3,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SALRETI","flowerend",3,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SALRETI","green",3,3
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SAXOPP","flower",5,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SAXOPP","flowerend",5,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SAXOPP","green",5,5
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SILACA","flower",8,1
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SILACA","flowerend",8,1
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"CTL","SILACA","green",8,8
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","PEDVER","flower",2,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","PEDVER","flowerend",2,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","PEDVER","green",2,2
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","POLVIV","flower",9,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","POLVIV","green",9,9
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SALRET","flower",9,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SALRET","flowerend",9,3
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SALRET","green",9,9
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SALRETI","flower",4,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SALRETI","flowerend",4,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SALRETI","green",4,4
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SAXOPP","flower",8,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SAXOPP","flowerend",8,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SAXOPP","green",8,8
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SILACA","flower",9,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SILACA","flowerend",9,0
"VALBERCLA","VALBERCLA.ITEX.JP",2014,"OTC","SILACA","green",9,9
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","BARALP","flower",5,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","BARALP","flowerend",5,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","BARALP","green",5,5
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","LEUALP","flower",6,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","LEUALP","flowerend",6,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","LEUHAL","flower",4,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","LEUHAL","flowerend",4,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","PEDVER","flower",4,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","PEDVER","flowerend",4,4
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","PEDVER","green",4,0
"VALBERCLA","VALBERCLA.ITEX.JP",2015,"CTL","POLVIV","flower",9,5
