"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
1992,"CTL","CASTET","bd_exp",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","fl_bbk",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","fl_bud_f",60,49,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","fl_bud_l",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","fl_mat_f",60,50,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","fl_mat_l",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","frt_imm_f",60,52,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","frt_mat_f",60,59,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","grth_csd",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","lv_sen",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","pd_elo",60,50,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","pt_sen_f",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","sh_bbk",60,7,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"CTL","CASTET","sh_elo",60,5,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","bd_exp",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","fl_bbk",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","fl_bud_f",60,51,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","fl_bud_l",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","fl_mat_f",60,52,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","fl_mat_l",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","frt_imm_f",60,54,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","frt_mat_f",60,58,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","grth_csd",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","lv_sen",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","pd_elo",60,51,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","pt_sen_f",0,60,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","sh_bbk",60,3,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"OTC","CASTET","sh_elo",60,7,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"Snowadd","CASTET","bd_exp",0,50,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"Snowadd","CASTET","fl_bbk",0,50,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"Snowadd","CASTET","fl_bud_f",50,42,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"Snowadd","CASTET","fl_bud_l",0,50,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
1992,"Snowadd","CASTET","fl_mat_f",50,45,"ALEXFIORD.CASSIOPE.GH","ALEXFIORD"
