"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy","plant_id"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"lv_mat",182,197,"159"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"catkin_imm",182,197,"159"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"fl_mat",182,197,"159"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"male_fl_sen",182,197,"159"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"lv_mat",182,197,"160"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"catkin_imm",NA,182,"160"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"fl_mat",182,197,"160"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"female_swell",182,197,"160"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",1,"sd_disp",197,209,"160"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"lv_mat",182,197,"141"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"catkin_imm",NA,182,"141"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"female_swell",182,197,"141"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"sd_disp",197,209,"141"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"lv_mat",182,197,"142"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"catkin_imm",NA,182,"142"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"female_swell",182,197,"142"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",1,"sd_disp",197,209,"142"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"lv_mat",182,197,"157"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"fl_mat",182,197,"157"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"male_fl_sen",182,197,"157"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"lv_mat",182,197,"158"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"catkin_imm",182,197,"158"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"fl_mat",182,197,"158"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"female_swell",182,197,"158"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",2,"sd_disp",197,209,"158"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",2,"lv_mat",182,197,"143"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",2,"catkin_imm",NA,182,"143"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",2,"female_swell",182,197,"143"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",2,"sd_disp",197,209,"143"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"lv_mat",182,197,"155"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"catkin_imm",NA,182,"155"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"female_swell",182,197,"155"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"sd_disp",197,209,"155"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"lv_mat",182,197,"156"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"catkin_imm",NA,182,"156"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",3,"male_fl_sen",182,197,"156"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"lv_mat",182,197,"145"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"catkin_imm",182,197,"145"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"female_swell",182,197,"145"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"sd_disp",197,209,"145"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"lv_mat",182,197,"146"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"catkin_imm",182,197,"146"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"female_swell",182,197,"146"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",3,"sd_disp",197,209,"146"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"lv_mat",182,197,"153"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"catkin_imm",NA,182,"153"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"fl_mat",182,197,"153"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"female_swell",182,197,"153"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"sd_disp",197,209,"153"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"lv_mat",182,197,"154"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"catkin_imm",NA,182,"154"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",4,"male_fl_sen",182,197,"154"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",4,"lv_mat",182,197,"147"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",4,"sd_disp",197,209,"147"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",4,"lv_mat",182,197,"148"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",4,"catkin_imm",197,209,"148"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",4,"sd_disp",197,209,"148"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",5,"lv_mat",182,197,"151"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",5,"catkin_imm",NA,182,"151"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",5,"fl_mat",182,197,"151"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",5,"male_fl_sen",182,197,"151"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",5,"lv_mat",182,197,"152"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",5,"catkin_imm",182,197,"152"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"lv_mat",182,197,"149"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"catkin_imm",NA,182,"149"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"fl_mat",182,197,"149"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"male_fl_sen",182,197,"149"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"lv_mat",182,197,"150"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"catkin_imm",NA,182,"150"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"female_swell",182,197,"150"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",5,"sd_disp",197,209,"150"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",6,"lv_mat",182,197,"172"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",6,"catkin_imm",197,209,"172"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",6,"sd_disp",197,209,"172"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",6,"lv_mat",182,197,"171"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",6,"catkin_imm",NA,182,"171"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",6,"fl_mat",182,197,"171"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",6,"female_swell",182,197,"171"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",6,"sd_disp",197,209,"171"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",7,"lv_mat",182,197,"170"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",7,"fl_mat",182,197,"170"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",7,"female_swell",197,209,"170"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",7,"sd_disp",197,209,"170"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",7,"lv_mat",182,197,"169"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",7,"fl_mat",182,197,"169"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",7,"female_swell",182,197,"169"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",7,"sd_disp",197,209,"169"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",8,"lv_mat",182,197,"168"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",8,"catkin_imm",NA,182,"168"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",8,"fl_mat",182,197,"168"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",8,"female_swell",182,197,"168"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",8,"sd_disp",197,209,"168"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",8,"lv_mat",182,197,"167"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"OTC",8,"catkin_imm",NA,182,"167"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",9,"lv_mat",182,197,"166"
"ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH","SALARC",1994,"CTL",9,"catkin_imm",NA,182,"166"
