"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy","plant_id"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_bud",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_bbk",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_exp",171,181,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_mat",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_sen",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"fl_buds",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"fl_bbk",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"fl_exp",187,193,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"fl_mat",205,211,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"fl_sen",NA,NA,"1"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_bud",NA,NA,"2"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_bbk",171,181,"2"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_exp",182,187,"2"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_mat",NA,NA,"2"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"lv_sen",212,218,"2"
"ALEXFIORD","ALEXFIORD.DRYAS.GH","ARCLAT",1992,"OTC",1,"fl_buds",182,187,"2"
