"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy","plant_id"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"lv_new",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"lv_mat",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"lv_sen",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_bud_f",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_bud_l",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_f",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_l",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_mat_f",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_mat_l",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_sen_f",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_sen_l",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"cap_f",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"cap_l",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"sd_disp",NA,NA,"443"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"lv_new",NA,NA,"444"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"lv_mat",NA,NA,"444"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"lv_sen",NA,NA,"444"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_bud_f",162,166,"444"
"ALEXFIORD","ALEXFIORD.MEADOW.GH","DRYINT",1993,"OTC",1,"fl_bud_l",NA,NA,"444"
