"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
1993,"CTL","DRYINT","cap_f",19,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","cap_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bbk_f",19,16,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bbk_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bud_f",19,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_bud_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_mat_f",19,16,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_mat_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_sen_f",19,16,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","fl_sen_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","lv_mat",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","lv_new",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","lv_sen",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"CTL","DRYINT","sd_disp",19,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","cap_f",18,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","cap_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_bbk_f",18,15,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_bbk_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_bud_f",18,11,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_bud_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_mat_f",18,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_mat_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_sen_f",18,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","fl_sen_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","lv_mat",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","lv_new",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","lv_sen",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1993,"OTC","DRYINT","sd_disp",18,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","cap_f",19,8,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","cap_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_bbk_f",19,6,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_bbk_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_bud_f",19,6,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_bud_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_mat_f",19,6,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_mat_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_sen_f",19,6,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","fl_sen_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","lv_mat",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","lv_new",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","lv_sen",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"CTL","DRYINT","sd_disp",19,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","cap_f",18,8,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","cap_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_bbk_f",18,8,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_bbk_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_bud_f",18,11,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_bud_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_mat_f",18,7,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_mat_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_sen_f",18,6,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","fl_sen_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","lv_mat",18,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","lv_new",18,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","lv_sen",18,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","sd_disp",18,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","cap_f",19,10,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","cap_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_bbk_f",19,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
