"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy","plant_id"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_new",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_mat",156,165,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_sen",219,225,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bud_f",156,165,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bud_l",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_f",165,170,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_l",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_mat_f",165,170,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_mat_l",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_sen_f",175,178,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_sen_l",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"cap_f",184,186,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"cap_l",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"sd_disp",198,203,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"aborted",NA,NA,"401"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_new",156,165,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_mat",165,170,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_sen",203,208,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bud_f",165,170,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bud_l",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_f",175,178,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_l",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_mat_f",178,182,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_mat_l",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_sen_f",184,186,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_sen_l",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"cap_f",194,198,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"cap_l",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"sd_disp",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"aborted",NA,NA,"402"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_new",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_mat",156,165,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"lv_sen",216,219,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bud_f",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bud_l",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_f",156,165,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_bbk_l",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_mat_f",165,170,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_mat_l",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_sen_f",175,178,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"fl_sen_l",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"cap_f",186,190,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"cap_l",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"sd_disp",198,203,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",1,"aborted",NA,NA,"403"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_new",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_mat",156,165,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_sen",219,225,"404"
