"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
1998,"CTL","ANTFRI","Fl_IN","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","ANTFRI","FW_IN","ATQASUK.AD.RH",1,0,"ATQASUK"
1998,"CTL","ANTFRI","In_IN","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","ANTFRI","Le_IN","ATQASUK.AD.RH",6,0,"ATQASUK"
1998,"CTL","ANTFRI","LW_IN","ATQASUK.AD.RH",1,0,"ATQASUK"
1998,"CTL","ANTFRI","SD_IN","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","ARCLAT","Le_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","ARCLAT","LW_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","ARTBOR","Le_IN","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","ARTBOR","LW_IN","ATQASUK.AD.RH",1,0,"ATQASUK"
1998,"CTL","CARBIG","Fl_IN","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","CARBIG","FW_IN","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","CARBIG","In_IN","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","CARBIG","Le_IN","ATQASUK.AD.RH",20,0,"ATQASUK"
1998,"CTL","CARBIG","LW_IN","ATQASUK.AD.RH",9,0,"ATQASUK"
1998,"CTL","CARBIG","SD_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","CARBIG","St_IN","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","CARBIG","SV_IN","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","CASTET","Bu_IN","ATQASUK.AD.RH",19,0,"ATQASUK"
1998,"CTL","CASTET","Fl_IN","ATQASUK.AD.RH",14,0,"ATQASUK"
1998,"CTL","CASTET","FW_IN","ATQASUK.AD.RH",12,0,"ATQASUK"
1998,"CTL","CASTET","Le_IN","ATQASUK.AD.RH",69,0,"ATQASUK"
1998,"CTL","CASTET","LW_IN","ATQASUK.AD.RH",17,0,"ATQASUK"
1998,"CTL","CASTET","SD_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","CASTET","SV_IN","ATQASUK.AD.RH",7,0,"ATQASUK"
1998,"CTL","DIALAP","Bu_IN","ATQASUK.AD.RH",56,0,"ATQASUK"
1998,"CTL","DIALAP","Fl_IN","ATQASUK.AD.RH",56,0,"ATQASUK"
1998,"CTL","DIALAP","FW_IN","ATQASUK.AD.RH",57,0,"ATQASUK"
1998,"CTL","DIALAP","Le_IN","ATQASUK.AD.RH",70,0,"ATQASUK"
1998,"CTL","DIALAP","LW_IN","ATQASUK.AD.RH",12,0,"ATQASUK"
1998,"CTL","DIALAP","SD_IN","ATQASUK.AD.RH",7,0,"ATQASUK"
1998,"CTL","DIALAP","SV_IN","ATQASUK.AD.RH",1,0,"ATQASUK"
1998,"CTL","HIEALPINA","Fl_IN","ATQASUK.AD.RH",13,0,"ATQASUK"
1998,"CTL","HIEALPINA","FW_IN","ATQASUK.AD.RH",14,0,"ATQASUK"
1998,"CTL","HIEALPINA","In_IN","ATQASUK.AD.RH",14,0,"ATQASUK"
1998,"CTL","HIEALPINA","Le_IN","ATQASUK.AD.RH",44,0,"ATQASUK"
1998,"CTL","HIEALPINA","LW_IN","ATQASUK.AD.RH",5,0,"ATQASUK"
1998,"CTL","HIEALPINA","SD_IN","ATQASUK.AD.RH",14,0,"ATQASUK"
1998,"CTL","LEDPAL","Bu_IN","ATQASUK.AD.RH",34,0,"ATQASUK"
1998,"CTL","LEDPAL","Fl_IN","ATQASUK.AD.RH",34,0,"ATQASUK"
1998,"CTL","LEDPAL","FW_IN","ATQASUK.AD.RH",34,0,"ATQASUK"
1998,"CTL","LEDPAL","Le_IN","ATQASUK.AD.RH",71,0,"ATQASUK"
1998,"CTL","LEDPAL","LW_IN","ATQASUK.AD.RH",11,0,"ATQASUK"
1998,"CTL","LEDPAL","SV_IN","ATQASUK.AD.RH",18,0,"ATQASUK"
1998,"CTL","LUZARC","Fl_IN","ATQASUK.AD.RH",7,0,"ATQASUK"
1998,"CTL","LUZARC","FW_IN","ATQASUK.AD.RH",7,0,"ATQASUK"
1998,"CTL","LUZARC","In_IN","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","LUZARC","Le_IN","ATQASUK.AD.RH",14,0,"ATQASUK"
1998,"CTL","LUZARC","LW_IN","ATQASUK.AD.RH",19,0,"ATQASUK"
