"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L1","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"OTC","L5","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"OTC","L6","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L7","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"OTC","L8","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L9","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L10","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L1","FL",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L2","FL",171,174
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L3","FL",177,181
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L4","FL",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L5","FL",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L6","FL",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L7","FL",171,174
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L8","FL",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L9","FL",171,174
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L10","FL",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L1","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L4","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L5","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L6","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L7","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L8","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L9","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L10","FL",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"CTL","L1","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L4","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L5","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L6","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L8","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"CTL","L9","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"CTL","L10","FL",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"CTL","L1","FF",165,169
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"OTC","L2","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"CTL","L3","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"OTC","L4","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"OTC","L5","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"OTC","L6","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"CTL","L7","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"OTC","L8","FF",183,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2002,"CTL","L10","FF",170,176
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"CTL","L1","FF",171,174
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"OTC","L2","FF",171,174
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"CTL","L3","FF",177,181
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"OTC","L4","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"OTC","L5","FF",174,177
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"OTC","L6","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"CTL","L7","FF",174,177
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"OTC","L8","FF",177,181
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"CTL","L9","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2003,"CTL","L10","FF",171,174
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"CTL","L1","FF",180,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"OTC","L2","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"CTL","L3","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"OTC","L4","FF",159,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"OTC","L5","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"OTC","L6","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"CTL","L7","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"OTC","L8","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"CTL","L9","FF",180,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2004,"CTL","L10","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"CTL","L1","FF",168,173
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"OTC","L2","FF",173,178
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"CTL","L3","FF",173,178
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"OTC","L4","FF",168,173
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"OTC","L5","FF",168,173
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"OTC","L6","FF",168,173
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"CTL","L7","FF",173,178
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"OTC","L8","FF",178,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"CTL","L9","FF",178,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","DRYOCT",2005,"CTL","L10","FF",173,178
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L1","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"OTC","L5","FF",183,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"OTC","L6","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L7","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"OTC","L8","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L9","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2002,"CTL","L10","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L1","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L2","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L3","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L4","FF",181,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L5","FF",181,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L6","FF",182,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L7","FF",188,191
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"OTC","L8","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L9","FF",177,181
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2003,"CTL","L10","FF",181,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L1","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L4","FF",180,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L5","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L6","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L7","FF",180,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"OTC","L8","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L9","FF",167,180
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2004,"CTL","L10","FF",180,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"CTL","L1","FF",182,187
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L4","FF",173,178
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L5","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L6","FF",178,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"OTC","L8","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"CTL","L9","FF",178,182
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","POLVIV",2005,"CTL","L10","FF",187,193
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"CTL","L1","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"OTC","L2","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"CTL","L3","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"OTC","L4","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"OTC","L5","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"OTC","L6","FF",169,170
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"CTL","L7","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"OTC","L8","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"CTL","L9","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2002,"CTL","L10","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"CTL","L1","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"OTC","L2","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"CTL","L3","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"OTC","L4","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"OTC","L5","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"OTC","L6","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"CTL","L7","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"OTC","L8","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"CTL","L9","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2003,"CTL","L10","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"CTL","L1","FF",164,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"OTC","L2","FF",124,156
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"CTL","L3","FF",159,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"OTC","L4","FF",124,156
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"OTC","L5","FF",124,156
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"OTC","L6","FF",156,159
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"CTL","L7","FF",159,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"OTC","L8","FF",156,159
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"CTL","L9","FF",159,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2004,"CTL","L10","FF",159,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"CTL","L1","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"OTC","L2","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"CTL","L3","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"OTC","L4","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"OTC","L5","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"OTC","L6","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"CTL","L7","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"OTC","L8","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"CTL","L9","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","CASTET",2005,"CTL","L10","FF",149,164
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"CTL","L1","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"OTC","L2","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"CTL","L3","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"OTC","L4","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"OTC","L5","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"OTC","L6","FF",169,170
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"CTL","L7","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"OTC","L8","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"CTL","L9","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2002,"CTL","L10","FF",158,165
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"CTL","L1","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"OTC","L2","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"CTL","L3","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"OTC","L4","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"OTC","L5","FF",155,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"OTC","L6","FF",182,184
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"CTL","L7","FF",174,177
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"OTC","L8","FF",NA,NA
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"CTL","L9","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2003,"CTL","L10","FF",167,171
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2004,"CTL","L1","FF",164,167
"ENDALEN","ENDALEN.CASSIOPE_LOW.IJ","SALPOL",2004,"OTC","L2","FF",NA,NA
