"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L2","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L3","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L4","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L5","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L6","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L7","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L8","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L9","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L10","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L1","FL",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L2","FL",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L3","FL",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L4","FL",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L5","FL",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L6","FL",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L7","FL",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L8","FL",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L9","FL",171,175
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L10","FL",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L2","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L3","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L4","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L5","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L6","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L7","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L8","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L9","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L10","FL",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L1","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L2","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L3","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L4","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L5","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L6","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L7","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L8","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L9","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L10","FL",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L1","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L2","FF",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L3","FF",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L4","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L5","FF",183,198
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L6","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L7","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L8","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"OTC","L9","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2002,"CTL","L10","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L1","FF",188,189
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L2","FF",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L3","FF",184,188
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L4","FF",189,191
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L5","FF",188,189
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L6","FF",188,189
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L7","FF",181,184
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L8","FF",181,184
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"OTC","L9","FF",181,184
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2003,"CTL","L10","FF",189,191
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L1","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L2","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L3","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L4","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L5","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L6","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L7","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L8","FF",181,185
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"OTC","L9","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2004,"CTL","L10","FF",181,185
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L1","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L2","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L3","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L4","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L5","FF",178,182
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L6","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L7","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L8","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"OTC","L9","FF",173,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","POLVIV",2005,"CTL","L10","FF",187,193
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L1","FF",170,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L2","FF",170,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L3","FF",170,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L4","FF",170,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L5","FF",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L6","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L7","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L8","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L9","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L10","FF",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L1","FF",166,171
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L2","FF",166,171
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L3","FF",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L4","FF",166,171
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L5","FF",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L6","FF",166,171
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L7","FF",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L8","FF",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L9","FF",166,171
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L10","FF",175,177
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"OTC","L1","FF",164,167
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"CTL","L2","FF",164,167
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"CTL","L3","FF",164,167
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"OTC","L4","FF",164,167
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"OTC","L5","FF",164,167
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"CTL","L6","FF",147,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"OTC","L7","FF",164,167
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"CTL","L8","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"OTC","L9","FF",147,164
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"CTL","L10","FF",167,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"OTC","L1","FF",164,173
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"CTL","L2","FF",173,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"CTL","L3","FF",164,173
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"OTC","L4","FF",173,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"OTC","L5","FF",173,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"CTL","L6","FF",173,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"OTC","L7","FF",178,182
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"CTL","L8","FF",182,187
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"OTC","L9","FF",164,173
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2005,"CTL","L10","FF",173,178
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L1","FS",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L2","FS",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L3","FS",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L4","FS",178,183
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L5","FS",183,198
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L6","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L7","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L8","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"OTC","L9","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2002,"CTL","L10","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L1","FS",181,184
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L2","FS",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L3","FS",184,188
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L4","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L5","FS",181,184
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L6","FS",177,181
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L7","FS",NA,NA
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L8","FS",184,188
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"OTC","L9","FS",181,184
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2003,"CTL","L10","FS",188,189
"ENDALEN","ENDALEN.SNOWBED_LOW.IJ","SALPOL",2004,"OTC","L1","FS",NA,NA
