"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2002,"CTL","POLVIV","AW","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","POLVIV","FB","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","POLVIV","FC","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","POLVIV","FF","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","POLVIV","FL","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,5
2002,"CTL","POLVIV","FO","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","AW","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","FA","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","FC","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","FF","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","FS","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","LPO","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","OVS","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"CTL","SALPOL","PO","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,5
2002,"CTL","SALPOL","SD","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,3
2002,"OTC","POLVIV","AW","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","POLVIV","FB","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","POLVIV","FC","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","POLVIV","FF","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,4
2002,"OTC","POLVIV","FL","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,5
2002,"OTC","POLVIV","FO","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","SALPOL","AW","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","SALPOL","FA","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,4
2002,"OTC","SALPOL","FC","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","SALPOL","FF","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","SALPOL","FS","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","SALPOL","LPO","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,4
2002,"OTC","SALPOL","OVS","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,2
2002,"OTC","SALPOL","PO","ENDALEN.SNOWBED_LOW.IJ","ENDALEN",5,5
