"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2002,"CTL","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",6,0
2002,"CTL","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",6,0
2002,"CTL","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",6,0
2002,"CTL","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",6,0
2002,"OTC","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",7,0
2002,"OTC","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",7,0
2002,"OTC","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2002,"OTC","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2007,"CTL","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",8,0
2007,"CTL","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",8,0
2007,"CTL","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",8,0
2007,"CTL","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",8,0
2007,"OTC","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",7,0
2007,"OTC","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",7,0
2007,"OTC","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2007,"OTC","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2008,"CTL","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",8,0
2008,"CTL","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",8,0
2008,"CTL","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",8,0
2008,"CTL","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",8,0
2008,"OTC","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",7,0
2008,"OTC","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",7,0
2008,"OTC","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2008,"OTC","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2009,"CTL","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",8,0
2009,"CTL","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",8,0
2009,"CTL","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",8,0
2009,"CTL","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",8,0
2009,"OTC","SILACA","FF","FAROE.DRY_MEADOW.AF","FAROE",7,0
2009,"OTC","SILACA","FO","FAROE.DRY_MEADOW.AF","FAROE",7,0
2009,"OTC","SILACA","FPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
2009,"OTC","SILACA","LPE","FAROE.DRY_MEADOW.AF","FAROE",7,0
