"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
1994,"CTL","LEOAUT","FO","FINSE.alpine_meadow.KK","FINSE",11,1
1994,"CTL","LEOAUT","LPE","FINSE.alpine_meadow.KK","FINSE",11,1
1994,"CTL","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1994,"CTL","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",11,0
1994,"OTC","LEOAUT","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1994,"OTC","LEOAUT","LPE","FINSE.alpine_meadow.KK","FINSE",11,2
1994,"OTC","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1994,"OTC","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",11,0
1995,"CTL","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1995,"CTL","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",11,0
1995,"OTC","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1995,"OTC","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",11,0
1996,"CTL","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1996,"CTL","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",11,0
1996,"OTC","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",11,0
1996,"OTC","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",11,0
2009,"CTL","LEOAUT","FO","FINSE.alpine_meadow.KK","FINSE",13,1
2009,"CTL","LEOAUT","LPE","FINSE.alpine_meadow.KK","FINSE",13,1
2009,"CTL","RANACR","FO","FINSE.alpine_meadow.KK","FINSE",13,0
2009,"CTL","RANACR","LPE","FINSE.alpine_meadow.KK","FINSE",13,0
