"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
1995,"CTL","RANGLA","FL","FINSE.stony_snowbed.KK","FINSE",19,0
1995,"CTL","RANGLA","FO","FINSE.stony_snowbed.KK","FINSE",19,0
1995,"CTL","RANGLA","LPE","FINSE.stony_snowbed.KK","FINSE",19,19
1995,"OTC","RANGLA","FL","FINSE.stony_snowbed.KK","FINSE",19,0
1995,"OTC","RANGLA","FO","FINSE.stony_snowbed.KK","FINSE",19,0
1995,"OTC","RANGLA","LPE","FINSE.stony_snowbed.KK","FINSE",19,19
1996,"CTL","RANGLA","FL","FINSE.stony_snowbed.KK","FINSE",19,0
1996,"CTL","RANGLA","FO","FINSE.stony_snowbed.KK","FINSE",19,1
1996,"CTL","RANGLA","LPE","FINSE.stony_snowbed.KK","FINSE",19,19
1996,"OTC","RANGLA","FL","FINSE.stony_snowbed.KK","FINSE",19,0
1996,"OTC","RANGLA","FO","FINSE.stony_snowbed.KK","FINSE",19,0
1996,"OTC","RANGLA","LPE","FINSE.stony_snowbed.KK","FINSE",19,19
2009,"CTL","RANGLA","FL","FINSE.stony_snowbed.KK","FINSE",19,5
2009,"CTL","RANGLA","FO","FINSE.stony_snowbed.KK","FINSE",19,14
2009,"CTL","RANGLA","LPE","FINSE.stony_snowbed.KK","FINSE",19,13
