"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","OTC","1_1","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","OTC","1_1","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","OTC","1_1","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","OTC","1_1","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","CTL","1_2","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","CTL","1_2","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","CTL","1_2","bud.burst",168,175
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","CTL","1_2","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","OTC","1_3","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","OTC","1_3","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","OTC","1_3","bud.burst",168,175
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","OTC","1_3","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","CTL","1_4","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","CTL","1_4","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","CTL","1_4","bud.burst",168,175
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","CTL","1_4","bud.burst",154,158
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE|OTC","1_5","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE|OTC","1_5","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE|OTC","1_5","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE|OTC","1_5","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE","1_6","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE","1_6","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE","1_6","bud.burst",154,158
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE","1_6","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE|OTC","1_7","bud.burst",NA,NA
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE|OTC","1_7","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE|OTC","1_7","bud.burst",168,175
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE|OTC","1_7","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE","1_8","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE","1_8","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE","1_8","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE","1_8","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","OTC","2_1","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","OTC","2_1","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","OTC","2_1","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","OTC","2_1","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","CTL","2_2","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","CTL","2_2","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","CTL","2_2","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","CTL","2_2","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","OTC","2_3","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","OTC","2_3","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","OTC","2_3","bud.burst",154,158
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","OTC","2_3","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","CTL","2_4","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","CTL","2_4","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","CTL","2_4","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","CTL","2_4","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE|OTC","2_5","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE|OTC","2_5","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE|OTC","2_5","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE|OTC","2_5","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE","2_6","bud.burst",NA,NA
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE","2_6","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE","2_6","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE","2_6","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE|OTC","2_7","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE|OTC","2_7","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE|OTC","2_7","bud.burst",158,162
"HEALY","HEALY.CiPEHR.MM","VACULI","2013","SNOWFENCE|OTC","2_7","bud.burst",151,154
"HEALY","HEALY.CiPEHR.MM","BETNAN","2013","SNOWFENCE","2_8","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","CARXXX","2013","SNOWFENCE","2_8","bud.burst",NA,151
"HEALY","HEALY.CiPEHR.MM","RUBCHA","2013","SNOWFENCE","2_8","bud.burst",158,162
