"year","treatment","spp","phen_stage","ct","ct_na","site_name","subsite"
"2013","CTL","BETNAN","all.senesced",12,1,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","BETNAN","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","BETNAN","some.senesced",12,1,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","CARXXX","all.senesced",12,7,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","VACULI","all.senesced",12,3,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","CTL","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","BETNAN","all.senesced",12,1,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","BETNAN","bud.burst",12,1,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","BETNAN","some.senesced",12,1,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","CARXXX","all.senesced",12,8,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","RUBCHA","all.senesced",12,2,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","VACULI","all.senesced",12,9,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","OTC","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","BETNAN","all.senesced",12,3,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","BETNAN","bud.burst",12,2,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","BETNAN","some.senesced",12,1,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","CARXXX","all.senesced",12,10,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","VACULI","all.senesced",12,5,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE|OTC","BETNAN","all.senesced",12,4,"HEALY","HEALY.CiPEHR.MM"
"2013","SNOWFENCE|OTC","BETNAN","bud.burst",12,3,"HEALY","HEALY.CiPEHR.MM"
