"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","1","LO",NA,155
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","1","LO",157,159
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","2","LO",NA,155
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","2","LO",NA,155
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","3","LO",NA,155
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","3","LO",159,161
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","4","LO",NA,155
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","4","LO",156,157
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","1","LO",NA,156
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","1","LO",157,158
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","2","LO",NA,156
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","2","LO",157,158
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","3","LO",NA,156
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","3","LO",162,163
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","4","LO",157,158
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","4","LO",160,161
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","2","FS",157,158
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","3","FS",157,158
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","3","B",160,162
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","OTC","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2003","CTL","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","OTC","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","SALGLA","2004","CTL","4","B",158,159
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","1","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","1","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","2","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","2","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","3","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","3","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","4","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","4","E",NA,155
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","1","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","1","E",156,157
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","2","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","2","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","3","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","3","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","4","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","4","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","1","FS",161,162
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","4","FS",155,156
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","1","FS",157,158
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","2","FS",156,157
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","2","FS",158,159
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","3","FS",157,158
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","3","FS",158,159
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","4","FS",157,158
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","4","FS",159,160
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","1","B",158,160
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","1","B",162,163
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","2","B",157,158
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","2","B",163,168
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","3","B",157,158
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","3","B",161,162
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","OTC","4","B",157,158
"KANGER","KANGER.BASHFUL.EP","CERALP","2003","CTL","4","B",163,168
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","1","B",167,169
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","2","B",161,163
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","2","B",162,163
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","3","B",163,166
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","3","B",167,169
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","OTC","4","B",166,168
"KANGER","KANGER.BASHFUL.EP","CERALP","2004","CTL","4","B",164,167
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","1","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","1","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","2","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","2","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","4","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","4","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","1","E",NA,156
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","1","E",158,159
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","2","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","2","E",157,158
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","4","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","4","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","1","FS",157,158
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","1","FS",161,162
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","3","FS",157,158
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","1","B",NA,155
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","1","B",161,162
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","2","B",156,157
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","2","B",159,161
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","3","B",NA,155
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","3","B",156,157
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","4","B",156,157
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","4","B",157,159
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","1","B",163,166
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","2","B",NA,156
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","2","B",158,159
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","3","B",NA,156
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","3","B",NA,156
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","4","B",164,167
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","1","RS",160,162
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","1","RS",169,170
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","2","RS",158,160
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","2","RS",168,169
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","3","RS",160,162
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","3","RS",163,168
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","OTC","4","RS",160,162
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2003","CTL","4","RS",163,168
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","1","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","1","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","2","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","2","RS",167,169
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","3","RS",163,166
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","3","RS",164,167
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","OTC","4","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","DRAXXX","2004","CTL","4","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","1","FS",NA,155
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","4","FS",155,156
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","4","FS",155,156
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","1","FS",156,157
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","4","FS",NA,156
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","4","FS",NA,156
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","1","B",158,160
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","3","B",158,160
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","4","B",157,158
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","4","B",161,162
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","1","B",158,159
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","4","B",156,157
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","4","B",159,160
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","1","RS",160,162
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","1","RS",169,170
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","2","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","2","RS",169,170
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","3","RS",163,168
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","3","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","OTC","4","RS",162,163
"KANGER","KANGER.BASHFUL.EP","BETNAN","2003","CTL","4","RS",168,169
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","1","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","1","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","2","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","2","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","3","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","3","RS",NA,NA
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","OTC","4","RS",163,166
"KANGER","KANGER.BASHFUL.EP","BETNAN","2004","CTL","4","RS",164,167
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","1","E",155,156
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","1","E",156,157
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","2","E",156,157
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","2","E",155,156
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","3","E",155,156
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","4","E",NA,155
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","4","E",NA,155
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","1","E",158,159
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","1","E",163,164
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","2","E",158,159
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","2","E",157,158
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","3","E",157,158
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","3","E",159,160
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","4","E",NA,156
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","4","E",156,157
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","1","FS",158,160
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","2","FS",168,170
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","2","FS",168,169
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","3","FS",158,160
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","1","FS",159,161
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","1","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","2","FS",161,163
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","2","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","3","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","4","FS",163,166
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","4","FS",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","1","B",162,163
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","2","B",163,168
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2003","OTC","4","B",163,168
"KANGER","KANGER.BASHFUL.EP","STELON","2003","CTL","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","1","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","2","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","3","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","OTC","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","STELON","2004","CTL","4","B",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","OTC","1","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","CTL","1","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","OTC","2","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","CTL","2","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","OTC","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","CTL","3","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","OTC","4","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2003","CTL","4","E",NA,NA
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","OTC","1","E",158,159
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","CTL","1","E",158,159
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","OTC","2","E",159,161
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","CTL","2","E",160,161
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","OTC","3","E",159,161
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","CTL","3","E",161,162
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","OTC","4","E",NA,156
"KANGER","KANGER.BASHFUL.EP","CARSUP","2004","CTL","4","E",161,162
