"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","1","LO",NA,155
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","1","LO",156,157
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","2","LO",NA,155
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","2","LO",156,157
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","3","LO",NA,155
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","3","LO",NA,155
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","4","LO",NA,155
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","4","LO",156,157
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","1","LO",NA,156
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","1","LO",156,157
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","2","LO",NA,156
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","2","LO",160,161
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","3","LO",NA,156
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","3","LO",156,157
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","4","LO",157,158
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","4","LO",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","1","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","1","FS",157,159
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","2","FS",157,158
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","2","FS",161,162
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","3","FS",NA,155
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","3","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","4","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","4","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","1","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","1","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","2","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","2","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","3","FS",NA,156
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","3","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","OTC","4","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2004","CTL","4","FS",NA,NA
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","1","B",157,158
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","1","B",161,162
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","2","B",158,160
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","2","B",162,163
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","3","B",157,158
"KANGER","KANGER.DOC.EP","SALGLA","2003","CTL","3","B",163,168
"KANGER","KANGER.DOC.EP","SALGLA","2003","OTC","4","B",NA,NA
