"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","1","FO",140,160
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","2","FO",164,166
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","3","FO",163,164
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","4","FO",160,163
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","5","FO",163,164
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","1","FO",176,177
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","2","FO",177,179
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","3","FO",176,177
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","4","FO",182,184
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","5","FO",166,176
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","1","FO",185,186
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","2","FO",184,185
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","3","FO",178,179
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","4","FO",180,184
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","5","FO",170,178
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","1","FO",192,194
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","2","FO",187,188
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","3","FO",186,187
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","4","FO",191,192
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","5","FO",162,170
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","1","FO",184,188
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","2","FO",188,193
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","3","FO",193,196
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","4","FO",201,203
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","5","FO",162,165
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","1","FO",196,199
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","2","FO",196,199
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","3","FO",203,204
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","4","FO",209,210
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","5","FO",166,168
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"OTC","1","FO",177,178
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"OTC","2","FO",178,181
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"OTC","3","FO",170,177
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"OTC","4","FO",181,183
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"OTC","5","FO",158,170
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"CTL","1","FO",189,190
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"CTL","2","FO",181,183
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"CTL","3","FO",183,185
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"CTL","4","FO",187,188
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"CTL","5","FO",185,186
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"OTC","1","FO",161,162
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"OTC","2","FO",160,161
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"OTC","3","FO",143,160
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"OTC","4","FO",162,164
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"OTC","5","FO",143,160
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"CTL","1","FO",166,168
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"CTL","2","FO",165,166
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"CTL","3","FO",165,166
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"CTL","4","FO",171,173
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1997,"CTL","5","FO",164,165
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","1","FPE",184,188
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","2","FPE",177,179
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","3","FPE",180,182
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","4","FPE",179,180
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"OTC","5","FPE",184,188
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","1","FPE",192,194
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","2","FPE",189,192
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","3","FPE",188,189
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","4","FPE",192,194
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1993,"CTL","5","FPE",184,188
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","1","FPE",190,191
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","2","FPE",190,191
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","3","FPE",188,190
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","4","FPE",194,195
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"OTC","5","FPE",178,179
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","1","FPE",202,204
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","2","FPE",197,198
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","3","FPE",195,197
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","4","FPE",198,202
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1994,"CTL","5","FPE",179,180
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","1","FPE",206,209
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","2","FPE",199,201
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","3","FPE",203,204
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","4","FPE",210,211
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"OTC","5","FPE",180,182
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","1","FPE",206,209
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","2","FPE",204,206
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","3","FPE",210,211
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","4","FPE",211,216
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1995,"CTL","5","FPE",182,184
"LATNJA","LATNJA.DRY_HEATH.UM","CASTET",1996,"OTC","1","FPE",188,189
