"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
1993,"CTL","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"CTL","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"CTL","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"CTL","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"CTL","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"CTL","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1993,"CTL","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1993,"OTC","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"OTC","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"OTC","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"OTC","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"OTC","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"OTC","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1993,"OTC","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1994,"CTL","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1994,"CTL","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1994,"CTL","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"CTL","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,2
1994,"OTC","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,2
1994,"OTC","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1994,"OTC","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1995,"CTL","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,4
1995,"CTL","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"CTL","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,4
1995,"OTC","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1995,"OTC","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1995,"OTC","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1996,"CTL","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1996,"CTL","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"CTL","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1996,"OTC","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"CTL","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"CTL","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1997,"CTL","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"CTL","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"CTL","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1997,"CTL","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1997,"CTL","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1997,"CTL","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1997,"CTL","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"CTL","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1997,"OTC","DRYOCT","FC","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"OTC","DRYOCT","FF","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1997,"OTC","DRYOCT","FLE","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"OTC","DRYOCT","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"OTC","DRYOCT","FPE","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1997,"OTC","DRYOCT","SD","LATNJA.DRY_MEADOW.UM","LATNJA",5,2
1997,"OTC","DRYOCT","TW","LATNJA.DRY_MEADOW.UM","LATNJA",5,5
1997,"OTC","POLVIV","FB","LATNJA.DRY_MEADOW.UM","LATNJA",5,1
1997,"OTC","POLVIV","FL","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
1997,"OTC","POLVIV","FO","LATNJA.DRY_MEADOW.UM","LATNJA",5,0
