"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"OTC","1","FA",150,151
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"OTC","2","FA",150,151
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"OTC","3","FA",149,150
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"OTC","4","FA",144,149
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"OTC","5","FA",149,150
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"CTL","1","FA",151,152
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"CTL","2","FA",154,155
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"CTL","3","FA",156,160
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"CTL","4","FA",152,154
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1993,"CTL","5","FA",155,156
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"OTC","1","FA",166,167
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"OTC","2","FA",166,167
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"OTC","3","FA",162,166
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"OTC","4","FA",162,166
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"OTC","5","FA",162,166
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"CTL","1","FA",168,169
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"CTL","2","FA",169,170
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"CTL","3","FA",170,172
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"CTL","4","FA",167,168
"LATNJA","LATNJA.TUSSOCK_TUNDRA.UM","ERIVAG",1994,"CTL","5","FA",169,170
