"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
1993,"CTL","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"CTL","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"CTL","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"CTL","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"OTC","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"OTC","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"OTC","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1993,"OTC","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"CTL","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"CTL","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"CTL","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"CTL","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,1
1994,"OTC","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"OTC","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"OTC","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1994,"OTC","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"CTL","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"CTL","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"CTL","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"CTL","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"OTC","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"OTC","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"OTC","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1995,"OTC","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"CTL","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"CTL","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"CTL","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"CTL","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,1
1996,"OTC","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"OTC","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"OTC","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1996,"OTC","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1997,"CTL","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1997,"CTL","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1997,"CTL","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,5
1997,"CTL","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1997,"OTC","RANNIV","FC","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1997,"OTC","RANNIV","FO","LATNJA.WET_SEDGE.UM","LATNJA",5,0
1997,"OTC","RANNIV","FPE","LATNJA.WET_SEDGE.UM","LATNJA",5,5
1997,"OTC","RANNIV","SD","LATNJA.WET_SEDGE.UM","LATNJA",5,0
