"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","1",2018,"CTL","CA","LTR",205,207
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","1",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","2",2018,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","2",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","3",2018,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","3",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","4",2018,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","4",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","5",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","5",2018,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","6",2018,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","6",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","7",2018,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","7",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","1",2018,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","1",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","2",2018,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","2",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","3",2018,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","3",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","4",2018,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","4",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","5",2018,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","5",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","6",2018,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","6",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","1",2018,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","1",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","2",2018,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","2",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","3",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","3",2018,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","4",2018,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","4",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","5",2018,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","5",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_AUDUBON.CF","DESCAE","6",2018,"CTL","CB","LTR",NA,NA
