"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","LTR",14,0
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","R1",14,12
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","R2",14,12
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","R3",14,12
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","V1",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","V2",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","V3",14,2
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","V4",14,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","ARTSCO","V5",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","LTR",14,1
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","R1",14,12
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","R2",14,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","R3",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","V1",14,10
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","V2",14,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","V3",14,0
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","V4",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","CARXXX","V5",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","LTR",21,0
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","R1",21,9
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","R2",21,7
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","R3",21,6
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","V1",21,21
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","V2",21,21
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","V3",21,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","V4",21,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"CTL","GEUROS","V5",21,20
