"site_name","subsite","spp","plant_id","year","treatment","plot","phen_stage","prior_visit","doy"
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"CTL","CA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"CTL","CA","LTR",234,241
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"CTL","CA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"CTL","CA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"CTL","CA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"CTL","CA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"CTL","CA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"CTL","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"EARLYSNOWMELT","CA","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"EARLYSNOWMELT","CA","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"EARLYSNOWMELT","CA","LTR",219,221
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"EARLYSNOWMELT","CA","LTR",219,221
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"EARLYSNOWMELT","CA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"CTL","CB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"CTL","CB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"CTL","CB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"CTL","CB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"CTL","CB","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"CTL","CB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"CTL","CB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"CTL","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"EARLYSNOWMELT","CB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"EARLYSNOWMELT","CB","LTR",197,199
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"EARLYSNOWMELT","CB","LTR",213,219
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"EARLYSNOWMELT","CB","LTR",204,206
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"EARLYSNOWMELT","CB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"EARLYSNOWMELT","CB","LTR",197,199
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"EARLYSNOWMELT","CB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"EARLYSNOWMELT","CB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"CTL","CC","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"CTL","CC","LTR",219,221
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"CTL","CC","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"CTL","CC","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"CTL","CC","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"CTL","CC","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"CTL","CC","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"CTL","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"EARLYSNOWMELT","CC","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"EARLYSNOWMELT","CC","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"EARLYSNOWMELT","CC","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"EARLYSNOWMELT","CC","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"EARLYSNOWMELT","CC","LTR",213,219
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"EARLYSNOWMELT","CC","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"EARLYSNOWMELT","CC","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"EARLYSNOWMELT","CC","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"EARLYSNOWMELT_OTC","WA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"EARLYSNOWMELT_OTC","WA","LTR",219,221
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"EARLYSNOWMELT_OTC","WA","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"EARLYSNOWMELT_OTC","WA","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"EARLYSNOWMELT_OTC","WA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"EARLYSNOWMELT_OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"OTC","WA","LTR",234,241
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"OTC","WA","LTR",234,241
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"OTC","WA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"OTC","WA","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"OTC","WA","LTR",234,241
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"OTC","WA","LTR",234,241
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"OTC","WA","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"OTC","WA","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"EARLYSNOWMELT_OTC","WB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"EARLYSNOWMELT_OTC","WB","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"EARLYSNOWMELT_OTC","WB","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2018,"EARLYSNOWMELT_OTC","WB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","4",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2018,"EARLYSNOWMELT_OTC","WB","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","5",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2018,"EARLYSNOWMELT_OTC","WB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","6",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2018,"EARLYSNOWMELT_OTC","WB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","7",2019,"EARLYSNOWMELT_OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2018,"OTC","WB","LTR",229,234
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","1",2019,"OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2018,"OTC","WB","LTR",227,229
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","2",2019,"OTC","WB","LTR",NA,NA
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2018,"OTC","WB","LTR",221,227
"NIWOT","NIWOT.BS_TROUGH.CF","DESCAE","3",2019,"OTC","WB","LTR",NA,NA
