"site_name","subsite","spp","year","treatment","plot","plant_id","phen_stage","prior_visit","doy"
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","101E","AR1","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","101E","AR2","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","101E","AR3","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","101E","AR4","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","101E","AR5","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP_OTC","101E","BB1","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP_OTC","101E","BB2","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP_OTC","101E","BB3","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP_OTC","101E","BB4","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP_OTC","101E","BB5","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP","101C","AR1","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP","101C","AR2","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP","101C","AR3","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP","101C","AR4","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP","101C","AR5","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP","101C","BB1","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP","101C","BB2","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP","101C","BB3","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP","101C","BB4","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","POLBIS",1993,"SNOWFENCE_DEEP","101C","BB5","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","102E","AR1","1st_leaf",NA,NA
"NIWOT","NIWOT.SADSNFC.MW","ACOROS",1993,"SNOWFENCE_DEEP_OTC","102E","AR2","1st_leaf",NA,NA
