"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_COLOR_CHANGE",3,0
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_FLOWER_BUD",3,0
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_FLOWER_OPEN",3,0
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_LEAF_DROP",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_LEAF_EVIDENT",3,0
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_PETAL_DROP",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","FIRST_SEED_DISPERSAL",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","LAST_COLOR_CHANGE",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","LAST_PETAL_DROP",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","BETNAN","SECOND_SEED_DISPERSAL",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_COLOR_CHANGE",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_FLOWER_BUD",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_FLOWER_OPEN",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_LEAF_DROP",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_LEAF_EVIDENT",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_PETAL_DROP",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","FIRST_SEED_DISPERSAL",3,2
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","LAST_COLOR_CHANGE",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","LAST_PETAL_DROP",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","ERIVAG","SECOND_SEED_DISPERSAL",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","SALPUL","FIRST_COLOR_CHANGE",3,2
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","SALPUL","FIRST_FLOWER_BUD",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","SALPUL","FIRST_FLOWER_OPEN",3,3
"TOOLIK","TOOLIK.USTOOLIKMOIST.JW",1995,"CTL","SALPUL","FIRST_LEAF_DROP",3,3
