"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_COLOR_CHANGE",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_FLOWER_BUD",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_FLOWER_OPEN",5,0
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_LEAF_DROP",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_LEAF_EVIDENT",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_PETAL_DROP",5,0
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","FIRST_SEED_DISPERSAL",5,0
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","LAST_COLOR_CHANGE",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","LAST_PETAL_DROP",5,0
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","CASTET","SECOND_SEED_DISPERSAL",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_COLOR_CHANGE",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_FLOWER_BUD",5,2
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_FLOWER_OPEN",5,2
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_LEAF_DROP",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_LEAF_EVIDENT",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_PETAL_DROP",5,5
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","FIRST_SEED_DISPERSAL",5,2
"TOOLIK","TOOLIK.USTOOLIKSNOWFIELD.JW",1995,"CTL","SALRET","LAST_COLOR_CHANGE",5,5
