"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"CTL","1","green",161,177
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"CTL","1","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","1","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRETI",2014,"CTL","1","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","1","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","2","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","3","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SAXOPP",2014,"CTL","3","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","3","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"CTL","4","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","4","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","4","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"CTL","5","green",161,177
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"CTL","5","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","5","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRETI",2014,"CTL","5","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SAXOPP",2014,"CTL","5","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","5","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"CTL","6","green",161,177
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"CTL","6","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","6","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","6","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"CTL","7","green",NA,161
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"CTL","7","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","7","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SAXOPP",2014,"CTL","7","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","7","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"CTL","8","green",161,177
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"CTL","8","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","8","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRETI",2014,"CTL","8","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SAXOPP",2014,"CTL","8","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","8","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"CTL","9","green",177,188
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"CTL","9","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SAXOPP",2014,"CTL","9","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SILACA",2014,"CTL","9","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","PEDVER",2014,"OTC","1C","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","POLVIV",2014,"OTC","1C","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRET",2014,"OTC","1C","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SALRETI",2014,"OTC","1C","green",NA,NA
"VALBERCLA","VALBERCLA.ITEX.JP","SAXOPP",2014,"OTC","1C","green",NA,NA
