"site_name","subsite","spp","year","treatment","plot","phen_stage","doy","prior_visit"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","50","Flower","146","145"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","39","Flower","149","148"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","46","Flower","149","148"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","36","Flower","142","141"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","45","Flower","148","147"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","41","Flower","147","146"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","SHADE","51","Flower","161","159"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","SHADE","42","Flower","157","155"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","SHADE","48","Flower","152","149"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","SHADE","35","Flower","148","147"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","SHADE","35","FlowerEnd","149","148"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","77","Flower","163","161"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","78","Flower","147","146"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","76","Flower","146","145"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","CTL","79","Flower","148","147"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","37","Flower","136","134"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","49","Flower","137","136"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","34","Flower","139","138"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","40","Flower","134","NA"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","53","Flower","142","141"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","52","Flower","161","159"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","52","FlowerEnd","163","161"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","55","Flower","144","143"
"WHITEMTNS","WHITEMTNS.3100.CK","TRIAND","2013","OTC","54","Flower","149","148"
