Site:Subsite,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Adventdalen_Heath,-0.56844,0.722744,-2.10311,0.839655,Green up,134
Adventdalen_Meadow,-0.94691,0.72106,-2.56246,0.28811,Green up,142
Adventdalen_Heath,-2.32637,0.811854,-3.97808,-0.72006,Flowering,128
Adventdalen_Meadow,-2.55152,0.802097,-4.23932,-1.02705,Flowering,151
Adventdalen_Heath,-1.93192,0.75225,-3.44149,-0.40798,End of Flowering ,111
Adventdalen_Meadow,-1.99251,0.738612,-3.54874,-0.54604,End of Flowering ,95
Adventdalen_Heath,-3.03812,1.703769,-6.62092,0.278005,Seed Dispersal,86
Adventdalen_Meadow,-2.92092,1.680304,-6.32592,0.376833,Seed Dispersal,122
Adventdalen_Heath,0.74494,0.532319,-0.40121,1.775951,Leaf Senescence ,57
Adventdalen_Meadow,0.726394,0.54406,-0.45806,1.758302,Leaf Senescence ,50
Alexandra Fiord_Cassiope,-0.81769,0.618856,-2.14249,0.328599,Green up,1186
Alexandra Fiord_Dome Dolomite,-0.10442,0.847063,-1.80536,1.614686,Green up,490
Alexandra Fiord_Dome Granite,-0.11833,0.850566,-1.82672,1.597734,Green up,454
Alexandra Fiord_Dryas,-0.84986,0.626934,-2.22989,0.271551,Green up,1502
Alexandra Fiord_Fert,-0.92484,0.682464,-2.42063,0.273684,Green up,20
Alexandra Fiord_Meadow,-1.02145,0.675339,-2.4894,0.165944,Green up,780
Alexandra Fiord_Saxopp,-0.87462,0.67095,-2.37639,0.320198,Green up,240
Alexandra Fiord_Willow ,-1.13268,0.669255,-2.63441,0.014992,Green up,2735
Alexandra Fiord_Cassiope,-2.42477,0.746404,-3.95853,-1.02809,Flowering,719
Alexandra Fiord_Dome Dolomite,-2.22209,0.88618,-4.03788,-0.50016,Flowering,187
Alexandra Fiord_Dome Granite,-2.2097,0.877245,-3.96336,-0.47018,Flowering,179
Alexandra Fiord_Dryas,-2.32478,0.778053,-3.87548,-0.74727,Flowering,1026
Alexandra Fiord_Fert,-2.51224,0.834491,-4.19273,-0.88218,Flowering,27
Alexandra Fiord_Meadow,-2.54759,0.769004,-4.14218,-1.08439,Flowering,300
Alexandra Fiord_Saxopp,-2.43592,0.788389,-4.07639,-0.93992,Flowering,240
Alexandra Fiord_Willow ,-2.70939,0.761265,-4.32183,-1.30898,Flowering,2138
Alexandra Fiord_Cassiope,-2.03398,0.69127,-3.51266,-0.6901,End of Flowering ,482
Alexandra Fiord_Dome Dolomite,-2.07228,0.810068,-3.85954,-0.55785,End of Flowering ,210
Alexandra Fiord_Dome Granite,-1.95071,0.78854,-3.55247,-0.3383,End of Flowering ,214
Alexandra Fiord_Dryas,-1.99818,0.696938,-3.41466,-0.61462,End of Flowering ,657
Alexandra Fiord_Fert,-1.96485,0.739555,-3.49462,-0.49554,End of Flowering ,19
Alexandra Fiord_Meadow,-2.03662,0.722972,-3.56877,-0.63813,End of Flowering ,223
Alexandra Fiord_Saxopp,-1.92448,0.729777,-3.38227,-0.43012,End of Flowering ,280
Alexandra Fiord_Willow ,-2.0028,0.686891,-3.39973,-0.66435,End of Flowering ,1462
Alexandra Fiord_Cassiope,-2.70508,1.947098,-6.82207,0.99188,Fruiting,598
Alexandra Fiord_Dome Dolomite,-2.95255,2.097911,-7.39943,0.822901,Fruiting,107
Alexandra Fiord_Dome Granite,-2.56008,2.145186,-6.93366,1.686702,Fruiting,81
Alexandra Fiord_Dryas,-2.60012,1.949667,-6.7659,1.123692,Fruiting,692
Alexandra Fiord_Fert,-2.5945,2.089246,-6.9334,1.423699,Fruiting,17
Alexandra Fiord_Meadow,-2.66568,1.973488,-6.89432,0.982104,Fruiting,204
Alexandra Fiord_Saxopp,-2.08817,2.128134,-6.41286,2.14271,Fruiting,207
Alexandra Fiord_Willow ,-2.57678,1.932534,-6.64888,1.14385,Fruiting,1772
Alexandra Fiord_Cassiope,-2.89041,1.657625,-6.30314,0.433105,Seed Dispersal,75
Alexandra Fiord_Dryas,-2.79302,1.650597,-6.02674,0.513634,Seed Dispersal,141
Alexandra Fiord_Meadow,-2.96078,1.662384,-6.3988,0.250613,Seed Dispersal,84
Alexandra Fiord_Willow ,-3.02451,1.591434,-6.22371,0.069436,Seed Dispersal,676
Alexandra Fiord_Cassiope,0.784083,0.483372,-0.19372,1.753409,Leaf Senescence ,521
Alexandra Fiord_Dome Dolomite,0.792751,0.561307,-0.34658,1.926479,Leaf Senescence ,30
Alexandra Fiord_Dome Granite,0.790608,0.567413,-0.37134,1.956692,Leaf Senescence ,57
Alexandra Fiord_Dryas,0.71738,0.497826,-0.34588,1.657582,Leaf Senescence ,764
Alexandra Fiord_Fert,0.747511,0.528405,-0.36643,1.785124,Leaf Senescence ,10
Alexandra Fiord_Meadow,0.731068,0.499261,-0.35277,1.666013,Leaf Senescence ,405
Alexandra Fiord_Saxopp,0.696956,0.473022,-0.35699,1.588414,Leaf Senescence ,1417
