Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Adventdalen_2015,-0.75441,0.547074,-1.9739,0.226694,Green up,276
Adventdalen_2015,-2.44731,0.659066,-3.8257,-1.21659,Flowering,279
Adventdalen_2015,-1.96968,0.628578,-3.2628,-0.72328,End of Flowering,206
Adventdalen_2015,-2.93944,1.504451,-5.95937,0.021029,Seed Dispersal,208
Adventdalen_2015,0.698543,0.495484,-0.36909,1.630489,Leaf Senescence,107
Alexandra Fiord_1992,-0.71553,0.565394,-1.9668,0.341888,Green up,226
Alexandra Fiord _1992,-2.44781,0.658295,-3.83351,-1.2315,Flowering,101
Alexandra Fiord _1992,-1.96133,0.622848,-3.21385,-0.72302,End of Flowering,27
Alexandra Fiord _1992,-2.6956,1.925402,-6.8241,0.958164,Fruiting,106
Alexandra Fiord _1992,-2.86362,1.50466,-5.85163,0.132265,Seed Dispersal,38
Alexandra Fiord _1992,0.771558,0.456572,-0.15236,1.66347,Leaf Senescence,59
Alexandra Fiord _1993,-0.76264,0.561197,-1.99641,0.265094,Green up,425
Alexandra Fiord _1993,-2.4154,0.654525,-3.77128,-1.20575,Flowering,221
Alexandra Fiord _1993,-1.99362,0.633486,-3.2776,-0.73894,End of Flowering,202
Alexandra Fiord _1993,-2.51734,1.909347,-6.57349,1.073394,Fruiting,175
Alexandra Fiord _1993,-2.87036,1.502158,-5.8603,0.053383,Seed Dispersal,59
Alexandra Fiord _1993,0.734976,0.458029,-0.21025,1.618833,Leaf Senescence,55
Alexandra Fiord _1994,-0.77169,0.548588,-2.01059,0.218211,Green up,462
Alexandra Fiord_1994,-2.39441,0.668885,-3.78113,-1.13793,Flowering,311
Alexandra Fiord_1994,-2.04665,0.648192,-3.3975,-0.77706,End of Flowering,239
Alexandra Fiord_1994,-2.57556,1.911406,-6.56821,1.028512,Fruiting,257
Alexandra Fiord_1994,-2.84933,1.507169,-5.86431,0.112399,Seed Dispersal,73
Alexandra Fiord_1994,0.744746,0.442762,-0.16273,1.581204,Leaf Senescence,320
Alexandra Fiord_1995,-0.7559,0.551246,-1.97231,0.244087,Green up,432
Alexandra Fiord_1995,-2.4778,0.653305,-3.84518,-1.2736,Flowering,351
Alexandra Fiord_1995,-2.04413,0.632626,-3.3625,-0.82035,End of Flowering,259
Alexandra Fiord_1995,-2.71634,1.911396,-6.74395,0.87591,Fruiting,240
Alexandra Fiord_1995,-2.92862,1.500826,-5.9592,0.004114,Seed Dispersal,65
Alexandra Fiord_1995,0.84925,0.464196,-0.07383,1.787963,Leaf Senescence,394
Alexandra Fiord_1996,-0.71017,0.564829,-1.92598,0.339826,Green up,806
