Genus,Species,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Alopecurus,alpinus,-0.66354,0.586359,-1.92699,0.455734,Green up,136
Alopecurus,alpinus,-2.26347,0.822589,-3.93235,-0.64289,Flowering,118
Alopecurus,alpinus,-1.870961,0.6504672,-3.176409,-0.5186162,End of Flowering,114
Alopecurus,alpinus,-2.70865,1.972042,-6.83952,0.962689,Fruiting,20
Alopecurus,alpinus,-2.86352,1.606962,-6.01768,0.385283,Seed Dispersal,7
Alopecurus,alpinus,0.789142,0.535498,-0.26558,1.891447,Leaf Senescence,70
Alopecurus,magellanicus,-0.74539,0.546565,-1.90784,0.252267,Green up,37
Alopecurus,magellanicus,-2.65207,0.881618,-4.49842,-0.98841,Flowering,21
Alopecurus,magellanicus,-2.86939,1.589687,-5.97978,0.31434,Seed Dispersal,21
Andromeda,polifolia,-0.74448,0.524882,-1.87076,0.209339,Green up,62
Andromeda,polifolia,-2.00005,0.893185,-3.84145,-0.26572,Flowering,78
Andromeda,polifolia,-1.898622,0.6620124,-3.229619,-0.5423691,End of Flowering,77
Andromeda,polifolia,-2.86121,1.762832,-6.36576,0.762494,Seed Dispersal,25
Andromeda,polifolia,0.830828,0.579883,-0.31587,2.03652,Leaf Senescence,71
Antennaria,alpina,-3.09964,0.9976,-5.23358,-1.33912,Flowering,10
Antennaria,alpina,-1.867254,0.6667423,-3.221637,-0.5238231,End of Flowering,6
Antennaria,friesiana,-0.69331,0.558259,-1.9039,0.336771,Green up,97
Antennaria,friesiana,-2.49971,0.869987,-4.26166,-0.76561,Flowering,49
Antennaria,friesiana,-1.938877,0.6761787,-3.342028,-0.6047835,End of Flowering,17
Antennaria,friesiana,-2.81478,1.599992,-5.99737,0.447488,Seed Dispersal,24
Antennaria,friesiana,0.902016,0.68919,-0.41267,2.414683,Leaf Senescence,27
Arctagrostis,latifolia,-0.69406,0.555964,-1.88484,0.330916,Green up,1029
Arctagrostis,latifolia,-2.67866,0.807679,-4.38671,-1.17561,Flowering,381
Arctagrostis,latifolia,-1.818192,0.672719,-3.142342,-0.4193865,End of Flowering,159
Arctagrostis,latifolia,0.916322,0.550608,-0.07651,2.152626,Leaf Senescence,626
Arctous,alpina,-0.74051,0.533154,-1.90311,0.237632,Green up,30
Arctous,alpina,-2.16629,0.86174,-3.89766,-0.39219,Flowering,27
Arctous,alpina,-1.908753,0.7115192,-3.330442,-0.4743807,End of Flowering,26
Arctous,alpina,0.854883,0.570573,-0.20834,2.130883,Leaf Senescence,42
Artemisia,scopulorum,-0.75509,0.541639,-1.93284,0.232354,Green up,33
Artemisia,scopulorum,-2.14044,0.9028,-3.97344,-0.32364,Flowering,24
Artemisia,scopulorum,-1.874203,0.6907977,-3.253983,-0.4817228,End of Flowering,24
Artemisia,scopulorum,0.809747,0.616694,-0.45907,2.116276,Leaf Senescence,33
Bartsia,alpina,-2.14532,0.887923,-3.9785,-0.40632,Flowering,9
Bartsia,alpina,-1.861457,0.6680338,-3.222875,-0.5050455,End of Flowering,9
